Year,Site number,Site name,Latitude,Longitude,Annual mean depth to groundwater cm,Lag of mean annual depth to groundwater
2018,13,Harrison,35.0151,-106.6737,-119.73,-84.26333333333334
2018,14,Sevilleta,34.2583,-106.8832,-183.15041666666667,-170.83
2018,15,Valencia Cleared,34.6486,-106.7392,-113.425,-81.41666666666667
2018,16,Valencia Forest,34.6472,-106.7385,-168.6225,-133.32
2018,17,Montano,35.1453,-106.6804,-169.48,-143.41333333333333
2018,18,Reynolds Cleared,34.6597,-106.7421,-146.26166666666666,-103.11208333333333
2018,19,Reynolds Forest,34.6605,-106.743,-141.19166666666666,-100.3
2018,20,Route 66,35.1006,-106.6915,-117.53333333333333,-93.67916666666666
2018,21,Badger,35.1956,-106.6402,-259.6716666666667,-232.24666666666667
2018,22,Bobcat,35.1971,-106.6439,-120.28999999999999,-93.77454545454546
2018,23,BioPark,35.079,-106.668,-140.78666666666666,-119.505
2018,25,Crawford,34.6384,-106.7428,-154.25333333333333,-109.27833333333334
2018,26,Mesilla,32.2483,-106.821,-108.01777777777778,-133.35
2018,27,Bosque Farm,34.8489,-106.7147,-147.35833333333332,-90.87333333333333
2018,28,Valle de Oro,34.979,-106.6801,-125.095,-112.80375
2018,29,Albuquerque Overbank Project,35.0455,-106.6657,-109.835,-80.05
2018,30,State Land Office,34.9679,-106.6856,-137.87361111111107,-125.57111111111111
2018,31,San Jose,35.0124,-106.6728,-111.38333333333334,-73.37291666666667
2018,33,Bosque del Apache,33.8197,-106.8539,-309.022,.
2019,1,Alameda,35.1875,-106.6459,-251.9375,-292.12333333333333
